"pu","threats","amount","cost","status","threat1","threat2","threat3","threat4"
"117","2","1","1","0","0","1","0","0"
"117","4","1","1","0","0","0","0","1"
"118","1","1","1","0","1","0","0","0"
"118","2","1","1","0","0","1","0","0"
"118","3","1","1","0","0","0","1","0"
"118","4","1","1","0","0","0","0","1"
"119","2","1","1","0","0","1","0","0"
"119","4","1","1","0","0","0","0","1"
"120","2","1","1","0","0","1","0","0"
"120","4","1","1","0","0","0","0","1"
"121","1","1","1","0","1","0","0","0"
"121","2","1","1","0","0","1","0","0"
"121","3","1","1","0","0","0","1","0"
"121","4","1","1","0","0","0","0","1"
"122","1","1","1","0","1","0","0","0"
"122","2","1","1","0","0","1","0","0"
"122","3","1","1","0","0","0","1","0"
"122","4","1","1","0","0","0","0","1"
"123","1","1","1","0","1","0","0","0"
"123","2","1","1","0","0","1","0","0"
"123","3","1","1","0","0","0","1","0"
"123","4","1","1","0","0","0","0","1"
"124","2","1","1","0","0","1","0","0"
"124","4","1","1","0","0","0","0","1"
"125","2","1","1","0","0","1","0","0"
"125","4","1","1","0","0","0","0","1"
"126","2","1","1","0","0","1","0","0"
"126","3","1","1","0","0","0","1","0"
"126","4","1","1","0","0","0","0","1"
"127","2","1","1","0","0","1","0","0"
"127","4","1","1","0","0","0","0","1"
"128","2","1","1","0","0","1","0","0"
"128","4","1","1","0","0","0","0","1"
"129","1","1","1","0","1","0","0","0"
"129","2","1","1","0","0","1","0","0"
"129","3","1","1","0","0","0","1","0"
"129","4","1","1","0","0","0","0","1"
"130","2","1","1","0","0","1","0","0"
"130","4","1","1","0","0","0","0","1"
"131","2","1","1","0","0","1","0","0"
"131","4","1","1","0","0","0","0","1"
"132","2","1","1","0","0","1","0","0"
"132","4","1","1","0","0","0","0","1"
"133","2","1","1","0","0","1","0","0"
"133","4","1","1","0","0","0","0","1"
"134","1","1","1","0","1","0","0","0"
"134","2","1","1","0","0","1","0","0"
"134","3","1","1","0","0","0","1","0"
"134","4","1","1","0","0","0","0","1"
"135","2","1","1","0","0","1","0","0"
"135","4","1","1","0","0","0","0","1"
"136","1","1","1","0","1","0","0","0"
"136","2","1","1","0","0","1","0","0"
"136","3","1","1","0","0","0","1","0"
"136","4","1","1","0","0","0","0","1"
"137","2","1","1","0","0","1","0","0"
"137","4","1","1","0","0","0","0","1"
"138","2","1","1","0","0","1","0","0"
"138","4","1","1","0","0","0","0","1"
"139","2","1","1","0","0","1","0","0"
"139","4","1","1","0","0","0","0","1"
"140","2","1","1","0","0","1","0","0"
"140","4","1","1","0","0","0","0","1"
"141","1","1","1","0","1","0","0","0"
"141","2","1","1","0","0","1","0","0"
"141","3","1","1","0","0","0","1","0"
"141","4","1","1","0","0","0","0","1"
"142","2","1","1","0","0","1","0","0"
"142","3","1","1","0","0","0","1","0"
"142","4","1","1","0","0","0","0","1"
"143","2","1","1","0","0","1","0","0"
"143","4","1","1","0","0","0","0","1"
"144","2","1","1","0","0","1","0","0"
"144","4","1","1","0","0","0","0","1"
"145","2","1","1","0","0","1","0","0"
"145","4","1","1","0","0","0","0","1"
"146","2","1","1","0","0","1","0","0"
"146","3","1","1","0","0","0","1","0"
"146","4","1","1","0","0","0","0","1"
"147","2","1","1","0","0","1","0","0"
"147","4","1","1","0","0","0","0","1"
"148","2","1","1","0","0","1","0","0"
"148","4","1","1","0","0","0","0","1"
"149","2","1","1","0","0","1","0","0"
"149","4","1","1","0","0","0","0","1"
"150","2","1","1","0","0","1","0","0"
"150","4","1","1","0","0","0","0","1"
"151","2","1","1","0","0","1","0","0"
"151","3","1","1","0","0","0","1","0"
"151","4","1","1","0","0","0","0","1"
"152","2","1","1","0","0","1","0","0"
"152","4","1","1","0","0","0","0","1"
"153","2","1","1","0","0","1","0","0"
"153","3","1","1","0","0","0","1","0"
"153","4","1","1","0","0","0","0","1"
"154","2","1","1","0","0","1","0","0"
"154","3","1","1","0","0","0","1","0"
"154","4","1","1","0","0","0","0","1"
"155","2","1","1","0","0","1","0","0"
"155","4","1","1","0","0","0","0","1"
"156","2","1","1","0","0","1","0","0"
"156","4","1","1","0","0","0","0","1"
"157","2","1","1","0","0","1","0","0"
"157","4","1","1","0","0","0","0","1"
"158","2","1","1","0","0","1","0","0"
"158","4","1","1","0","0","0","0","1"
"159","2","1","1","0","0","1","0","0"
"159","4","1","1","0","0","0","0","1"
"160","2","1","1","0","0","1","0","0"
"160","4","1","1","0","0","0","0","1"
"161","2","1","1","0","0","1","0","0"
"161","4","1","1","0","0","0","0","1"
"162","2","1","1","0","0","1","0","0"
"162","3","1","1","0","0","0","1","0"
"162","4","1","1","0","0","0","0","1"
"163","2","1","1","0","0","1","0","0"
"163","3","1","1","0","0","0","1","0"
"163","4","1","1","0","0","0","0","1"
"164","2","1","1","0","0","1","0","0"
"164","4","1","1","0","0","0","0","1"
"165","2","1","1","0","0","1","0","0"
"165","4","1","1","0","0","0","0","1"
"166","2","1","1","0","0","1","0","0"
"166","3","1","1","0","0","0","1","0"
"166","4","1","1","0","0","0","0","1"
"167","2","1","1","0","0","1","0","0"
"167","3","1","1","0","0","0","1","0"
"167","4","1","1","0","0","0","0","1"
"168","2","1","1","0","0","1","0","0"
"168","4","1","1","0","0","0","0","1"
"169","2","1","1","0","0","1","0","0"
"169","3","1","1","0","0","0","1","0"
"169","4","1","1","0","0","0","0","1"
"170","2","1","1","0","0","1","0","0"
"170","3","1","1","0","0","0","1","0"
"170","4","1","1","0","0","0","0","1"
"171","2","1","1","0","0","1","0","0"
"171","3","1","1","0","0","0","1","0"
"171","4","1","1","0","0","0","0","1"
"172","2","1","1","0","0","1","0","0"
"172","4","1","1","0","0","0","0","1"
"173","2","1","1","0","0","1","0","0"
"173","3","1","1","0","0","0","1","0"
"173","4","1","1","0","0","0","0","1"
"174","2","1","1","0","0","1","0","0"
"174","3","1","1","0","0","0","1","0"
"174","4","1","1","0","0","0","0","1"
"175","2","1","1","0","0","1","0","0"
"175","4","1","1","0","0","0","0","1"
"176","2","1","1","0","0","1","0","0"
"176","3","1","1","0","0","0","1","0"
"176","4","1","1","0","0","0","0","1"
"177","2","1","1","0","0","1","0","0"
"177","3","1","1","0","0","0","1","0"
"177","4","1","1","0","0","0","0","1"
"178","2","1","1","0","0","1","0","0"
"178","4","1","1","0","0","0","0","1"
"179","2","1","1","0","0","1","0","0"
"179","3","1","1","0","0","0","1","0"
"179","4","1","1","0","0","0","0","1"
"180","2","1","1","0","0","1","0","0"
"180","4","1","1","0","0","0","0","1"
"181","2","1","1","0","0","1","0","0"
"181","4","1","1","0","0","0","0","1"
"182","2","1","1","0","0","1","0","0"
"182","4","1","1","0","0","0","0","1"
"183","2","1","1","0","0","1","0","0"
"183","3","1","1","0","0","0","1","0"
"183","4","1","1","0","0","0","0","1"
"184","2","1","1","0","0","1","0","0"
"184","4","1","1","0","0","0","0","1"
"185","1","1","1","0","1","0","0","0"
"185","2","1","1","0","0","1","0","0"
"185","3","1","1","0","0","0","1","0"
"185","4","1","1","0","0","0","0","1"
"186","2","1","1","0","0","1","0","0"
"186","3","1","1","0","0","0","1","0"
"186","4","1","1","0","0","0","0","1"
"187","2","1","1","0","0","1","0","0"
"187","4","1","1","0","0","0","0","1"
"188","2","1","1","0","0","1","0","0"
"188","3","1","1","0","0","0","1","0"
"188","4","1","1","0","0","0","0","1"
"189","2","1","1","0","0","1","0","0"
"189","4","1","1","0","0","0","0","1"
"190","2","1","1","0","0","1","0","0"
"190","3","1","1","0","0","0","1","0"
"190","4","1","1","0","0","0","0","1"
"191","2","1","1","0","0","1","0","0"
"191","3","1","1","0","0","0","1","0"
"191","4","1","1","0","0","0","0","1"
"192","2","1","1","0","0","1","0","0"
"192","3","1","1","0","0","0","1","0"
"192","4","1","1","0","0","0","0","1"
"193","2","1","1","0","0","1","0","0"
"193","4","1","1","0","0","0","0","1"
"194","1","1","1","0","1","0","0","0"
"194","2","1","1","0","0","1","0","0"
"194","3","1","1","0","0","0","1","0"
"194","4","1","1","0","0","0","0","1"
"195","2","1","1","0","0","1","0","0"
"195","4","1","1","0","0","0","0","1"
"196","1","1","1","0","1","0","0","0"
"196","2","1","1","0","0","1","0","0"
"196","3","1","1","0","0","0","1","0"
"196","4","1","1","0","0","0","0","1"
"197","2","1","1","0","0","1","0","0"
"197","4","1","1","0","0","0","0","1"
"198","1","1","1","0","1","0","0","0"
"198","2","1","1","0","0","1","0","0"
"198","3","1","1","0","0","0","1","0"
"198","4","1","1","0","0","0","0","1"
"199","2","1","1","0","0","1","0","0"
"199","3","1","1","0","0","0","1","0"
"199","4","1","1","0","0","0","0","1"
"200","2","1","1","0","0","1","0","0"
"200","4","1","1","0","0","0","0","1"
"201","2","1","1","0","0","1","0","0"
"201","4","1","1","0","0","0","0","1"
"202","2","1","1","0","0","1","0","0"
"202","4","1","1","0","0","0","0","1"
"203","2","1","1","0","0","1","0","0"
"203","3","1","1","0","0","0","1","0"
"203","4","1","1","0","0","0","0","1"
"204","2","1","1","0","0","1","0","0"
"204","4","1","1","0","0","0","0","1"
"205","2","1","1","0","0","1","0","0"
"205","4","1","1","0","0","0","0","1"
"206","2","1","1","0","0","1","0","0"
"206","4","1","1","0","0","0","0","1"
"207","2","1","1","0","0","1","0","0"
"207","4","1","1","0","0","0","0","1"
"208","2","1","1","0","0","1","0","0"
"208","4","1","1","0","0","0","0","1"
"209","2","1","1","0","0","1","0","0"
"209","4","1","1","0","0","0","0","1"
"210","2","1","1","0","0","1","0","0"
"210","3","1","1","0","0","0","1","0"
"210","4","1","1","0","0","0","0","1"
"211","1","1","1","0","1","0","0","0"
"211","2","1","1","0","0","1","0","0"
"211","3","1","1","0","0","0","1","0"
"211","4","1","1","0","0","0","0","1"
"212","1","1","1","0","1","0","0","0"
"212","2","1","1","0","0","1","0","0"
"212","3","1","1","0","0","0","1","0"
"212","4","1","1","0","0","0","0","1"
"213","2","1","1","0","0","1","0","0"
"213","3","1","1","0","0","0","1","0"
"213","4","1","1","0","0","0","0","1"
"214","2","1","1","0","0","1","0","0"
"214","4","1","1","0","0","0","0","1"
"215","2","1","1","0","0","1","0","0"
"215","3","1","1","0","0","0","1","0"
"215","4","1","1","0","0","0","0","1"
"216","2","1","1","0","0","1","0","0"
"216","3","1","1","0","0","0","1","0"
"216","4","1","1","0","0","0","0","1"
"217","2","1","1","0","0","1","0","0"
"217","4","1","1","0","0","0","0","1"
"218","2","1","1","0","0","1","0","0"
"218","4","1","1","0","0","0","0","1"
"219","2","1","1","0","0","1","0","0"
"219","4","1","1","0","0","0","0","1"
"220","2","1","1","0","0","1","0","0"
"220","3","1","1","0","0","0","1","0"
"220","4","1","1","0","0","0","0","1"
"221","2","1","1","0","0","1","0","0"
"221","4","1","1","0","0","0","0","1"
"222","2","1","1","0","0","1","0","0"
"222","4","1","1","0","0","0","0","1"
"223","2","1","1","0","0","1","0","0"
"223","4","1","1","0","0","0","0","1"
"224","2","1","1","0","0","1","0","0"
"224","3","1","1","0","0","0","1","0"
"224","4","1","1","0","0","0","0","1"
"225","2","1","1","0","0","1","0","0"
"225","4","1","1","0","0","0","0","1"
"226","2","1","1","0","0","1","0","0"
"226","4","1","1","0","0","0","0","1"
"227","2","1","1","0","0","1","0","0"
"227","3","1","1","0","0","0","1","0"
"227","4","1","1","0","0","0","0","1"
"228","2","1","1","0","0","1","0","0"
"228","4","1","1","0","0","0","0","1"
"229","2","1","1","0","0","1","0","0"
"229","3","1","1","0","0","0","1","0"
"229","4","1","1","0","0","0","0","1"
"230","2","1","1","0","0","1","0","0"
"230","3","1","1","0","0","0","1","0"
"230","4","1","1","0","0","0","0","1"
"231","2","1","1","0","0","1","0","0"
"231","3","1","1","0","0","0","1","0"
"231","4","1","1","0","0","0","0","1"
"232","2","1","1","0","0","1","0","0"
"232","3","1","1","0","0","0","1","0"
"232","4","1","1","0","0","0","0","1"
"233","2","1","1","0","0","1","0","0"
"233","4","1","1","0","0","0","0","1"
"234","2","1","1","0","0","1","0","0"
"234","4","1","1","0","0","0","0","1"
"235","2","1","1","0","0","1","0","0"
"235","3","1","1","0","0","0","1","0"
"235","4","1","1","0","0","0","0","1"
"236","2","1","1","0","0","1","0","0"
"236","4","1","1","0","0","0","0","1"
"237","2","1","1","0","0","1","0","0"
"237","4","1","1","0","0","0","0","1"
"238","2","1","1","0","0","1","0","0"
"238","4","1","1","0","0","0","0","1"
"239","2","1","1","0","0","1","0","0"
"239","4","1","1","0","0","0","0","1"
"240","1","1","1","0","1","0","0","0"
"240","2","1","1","0","0","1","0","0"
"240","3","1","1","0","0","0","1","0"
"240","4","1","1","0","0","0","0","1"
"241","1","1","1","0","1","0","0","0"
"241","2","1","1","0","0","1","0","0"
"241","4","1","1","0","0","0","0","1"
"242","2","1","1","0","0","1","0","0"
"242","3","1","1","0","0","0","1","0"
"242","4","1","1","0","0","0","0","1"
"243","2","1","1","0","0","1","0","0"
"243","4","1","1","0","0","0","0","1"
"244","2","1","1","0","0","1","0","0"
"244","4","1","1","0","0","0","0","1"
"245","2","1","1","0","0","1","0","0"
"245","4","1","1","0","0","0","0","1"
"246","2","1","1","0","0","1","0","0"
"246","4","1","1","0","0","0","0","1"
"247","2","1","1","0","0","1","0","0"
"247","3","1","1","0","0","0","1","0"
"247","4","1","1","0","0","0","0","1"
"248","2","1","1","0","0","1","0","0"
"248","3","1","1","0","0","0","1","0"
"248","4","1","1","0","0","0","0","1"
"249","2","1","1","0","0","1","0","0"
"249","3","1","1","0","0","0","1","0"
"249","4","1","1","0","0","0","0","1"
"250","2","1","1","0","0","1","0","0"
"250","3","1","1","0","0","0","1","0"
"250","4","1","1","0","0","0","0","1"
"251","2","1","1","0","0","1","0","0"
"251","4","1","1","0","0","0","0","1"
"252","2","1","1","0","0","1","0","0"
"252","4","1","1","0","0","0","0","1"
"253","2","1","1","0","0","1","0","0"
"253","3","1","1","0","0","0","1","0"
"253","4","1","1","0","0","0","0","1"
"254","2","1","1","0","0","1","0","0"
"254","4","1","1","0","0","0","0","1"
"255","2","1","1","0","0","1","0","0"
"255","3","1","1","0","0","0","1","0"
"255","4","1","1","0","0","0","0","1"
"256","2","1","1","0","0","1","0","0"
"256","4","1","1","0","0","0","0","1"
"257","1","1","1","0","1","0","0","0"
"257","2","1","1","0","0","1","0","0"
"257","3","1","1","0","0","0","1","0"
"257","4","1","1","0","0","0","0","1"
"258","2","1","1","0","0","1","0","0"
"258","4","1","1","0","0","0","0","1"
"259","2","1","1","0","0","1","0","0"
"259","4","1","1","0","0","0","0","1"
"260","2","1","1","0","0","1","0","0"
"260","4","1","1","0","0","0","0","1"
"261","2","1","1","0","0","1","0","0"
"261","4","1","1","0","0","0","0","1"
"262","2","1","1","0","0","1","0","0"
"262","4","1","1","0","0","0","0","1"
"263","2","1","1","0","0","1","0","0"
"263","3","1","1","0","0","0","1","0"
"263","4","1","1","0","0","0","0","1"
"264","2","1","1","0","0","1","0","0"
"264","4","1","1","0","0","0","0","1"
"265","2","1","1","0","0","1","0","0"
"265","4","1","1","0","0","0","0","1"
"266","2","1","1","0","0","1","0","0"
"266","4","1","1","0","0","0","0","1"
"267","2","1","1","0","0","1","0","0"
"267","4","1","1","0","0","0","0","1"
"268","2","1","1","0","0","1","0","0"
"268","4","1","1","0","0","0","0","1"
"269","2","1","1","0","0","1","0","0"
"269","3","1","1","0","0","0","1","0"
"269","4","1","1","0","0","0","0","1"
"270","2","1","1","0","0","1","0","0"
"270","3","1","1","0","0","0","1","0"
"270","4","1","1","0","0","0","0","1"
"271","2","1","1","0","0","1","0","0"
"271","3","1","1","0","0","0","1","0"
"271","4","1","1","0","0","0","0","1"
"272","2","1","1","0","0","1","0","0"
"272","3","1","1","0","0","0","1","0"
"272","4","1","1","0","0","0","0","1"
"273","2","1","1","0","0","1","0","0"
"273","4","1","1","0","0","0","0","1"
"274","2","1","1","0","0","1","0","0"
"274","4","1","1","0","0","0","0","1"
"275","2","1","1","0","0","1","0","0"
"275","4","1","1","0","0","0","0","1"
"276","2","1","1","0","0","1","0","0"
"276","4","1","1","0","0","0","0","1"
"277","2","1","1","0","0","1","0","0"
"277","4","1","1","0","0","0","0","1"
"278","2","1","1","0","0","1","0","0"
"278","3","1","1","0","0","0","1","0"
"278","4","1","1","0","0","0","0","1"
"279","2","1","1","0","0","1","0","0"
"279","3","1","1","0","0","0","1","0"
"279","4","1","1","0","0","0","0","1"
"280","2","1","1","0","0","1","0","0"
"280","3","1","1","0","0","0","1","0"
"280","4","1","1","0","0","0","0","1"
"281","2","1","1","0","0","1","0","0"
"281","3","1","1","0","0","0","1","0"
"281","4","1","1","0","0","0","0","1"
"282","2","1","1","0","0","1","0","0"
"282","3","1","1","0","0","0","1","0"
"282","4","1","1","0","0","0","0","1"
"283","2","1","1","0","0","1","0","0"
"283","3","1","1","0","0","0","1","0"
"283","4","1","1","0","0","0","0","1"
"284","2","1","1","0","0","1","0","0"
"284","4","1","1","0","0","0","0","1"
"285","2","1","1","0","0","1","0","0"
"285","4","1","1","0","0","0","0","1"
"286","2","1","1","0","0","1","0","0"
"286","4","1","1","0","0","0","0","1"
"287","2","1","1","0","0","1","0","0"
"287","4","1","1","0","0","0","0","1"
"288","2","1","1","0","0","1","0","0"
"288","3","1","1","0","0","0","1","0"
"288","4","1","1","0","0","0","0","1"
"289","2","1","1","0","0","1","0","0"
"289","3","1","1","0","0","0","1","0"
"289","4","1","1","0","0","0","0","1"
"290","2","1","1","0","0","1","0","0"
"290","3","1","1","0","0","0","1","0"
"290","4","1","1","0","0","0","0","1"
"291","2","1","1","0","0","1","0","0"
"291","3","1","1","0","0","0","1","0"
"291","4","1","1","0","0","0","0","1"
"292","2","1","1","0","0","1","0","0"
"292","4","1","1","0","0","0","0","1"
"293","2","1","1","0","0","1","0","0"
"293","3","1","1","0","0","0","1","0"
"293","4","1","1","0","0","0","0","1"
"294","2","1","1","0","0","1","0","0"
"294","3","1","1","0","0","0","1","0"
